"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 29 13:18:58 PKT 2024","Mon Apr 29 13:19:49 PKT 2024","51000","chromium","placeorder.spec.js","","","","Place Order",""
"passed","Mon Apr 29 12:22:56 PKT 2024","Mon Apr 29 12:23:18 PKT 2024","22003","chromium","cart.spec.js","","","","Add Item",""
